"Kindergeld-Nr.","Номер детского пособия"
"Steuerliche Identifikationsnummer der antragstellenden Person (zwingend ausfüllen)","Налоговый идентификационный номер заявителя (обязательно к заполнению)"
"Familienkasse","Отделение социальной службы по защите семьи (""Семейная касса"")"
"Beachten Sie bitte die anhängenden Hinweise und das Merkblatt Kindergeld.","Пожалуйста, обратите внимание на приложенные рекомендации и памятку по детскому пособию."
"Telefonische Rückfrage tagsüber unter Nr.:","Справки по телефону в течение рабочего дня:"
"Antrag auf Kindergeld","Заявление на предоставление детского пособия"
"Bitte fügen Sie für jedes Kind, für das Kindergeld beantragt wird, eine „Anlage Kind“ bei.","Приложите, пожалуйста, для каждого ребёнка, на которого Вы подаете заявление на получение детского пособия, отдельное сведение о ребёнке (приложение ""Сведения о ребенке"")."
"Anzahl der beigefügten ""Anlage Kind""","Количество приложений ""Сведения о ребенке"""
"Angaben zur antragstellenden Person","Сведения о заявителе"
"Name","Фамилия"
"Titel","Обращение"
"Vorname","Имя"
"ggf. Geburtsname und Name aus früherer Ehe","Фамилия по рождению или по бывшему/бывшей супругу/супруге (если есть)"
"Geburtsdatum","Дата рождения"
"Geburtsort","место рождения"
"Geschlecht","Пол"
"Staatsangehörigkeit (bei **nicht** EU-/EWR-Staatsangehörigkeit bitte Nachweis Aufenthaltstitel beifügen)","Гражданство (при **отсутствии** гражданства стран ЕС/ЕЭЗ, пожалуйста, приложите свидетельство о виде на жительство)"
"Anschrift (Straße/Platz, Hausnummer, Postleitzahl, Wohnort, Wohnland)","Адрес (улица/площадь, номер дома, почтовый индекс, населенный пункт, страна проживания)"
"Familienstand","Семейное положение"
"ledig","холост/не замужем"
"seit","с (дата)"
"verheiratet","женат/замужем"
"verwitwet","вдовец/вдова"
"in Lebenspartnerschaft lebend","состою в гражданском партнерстве"
"geschieden","разведен(-а)"
"dauernd getrennt lebend","проживаю отдельно от супруга(-и) длительное время"
"Angaben zum/zur Ehegatten/Ehegattin bzw. Lebenspartner/in der antragstellenden Person","Сведения о муже/жене или партнере заявителя"
"Staatsangehörigkeit","Гражданство"
"Anschrift, wenn abweichend vom Antragsteller/in (Straße/Platz, Hausnummer, Postleitzahl, Wohnort, Wohnland)","Адрес, если не адрес заявителя (улица/площадь, № дома, почтовый индекс, населенный пункт, страна проживания)"
"Angaben zum Zahlungsweg","Реквизиты для платежей"
"IBAN","IBAN (международный номер банковского счета)"
"BIC","BIC (банковский идентификационный код)"
"Bank, Finanzinstitut (ggf. auch Zweigstelle)","банк, финанcовое учреждение (возможно, и филиал)"
"Kontoinhaber/in ist","Владельцем счета является"
"antragstellende Person wie unter 1","Заявитель, указанный в пункте 1"
"nicht antragstellende Person, sondern:","не Заявитель, а данное лицо (указать):"
"Name, Vorname","Фамилия, имя"
"Der Bescheid soll nicht mir, sondern folgender Person zugesandt werden:","Официальное решение по данному заявлению прошу выслать не мне, а нижеуказанному лицу:"
"Angaben zu Kindern","Сведения о детях"
"Für jedes Kind, für das Kindergeld neu beantragt wird, ist eine gesonderte „Anlage Kind“ ausgefüllt einzureichen.","На каждого ребенка, на которого Вы запрашиваете пособие впервые, заполняется отдельное приложение ""Сведения о ребенке"""
"Für folgende Kinder beziehe ich bereits Kindergeld","Я уже получаю детское пособие на следующих детей"
"(auch in Fällen der abweichenden Kontoverbindung, Abzweigung und Erstattung):","(также, если банковские реквизиты, распределение пособия, получение компенсации отличаются):"
"Vorname des Kindes ggf. abweichender Familienname","Имя ребенка (и фамилия, если отличается от указанной выше)"
"Bei welcher Familienkasse (Kindergeldnummer, Personalnummer)?","При каком отделении социальной службы по защите семьи (""Семейной кассе"") (номер детского пособия, персональный цифровой шифр)?"
"Folgende Zählkinder sollen berücksichtigt werden:","Прошу принять во внимание следующих ""учетных детей"":"
"Wer bezieht das Kindergeld (Name, Vorname)?","Кто является получателем детского пособия (фамилия, имя)?"
"Hinweis nach dem Bundesdatenschutzgesetz: Die Daten werden aufgrund und zum Zweck der §§ 31, 62 bis 78 Einkommenssteuergesetz und der Regelungen der Abgabenordnung bzw. aufgrund des Bundeskindergeldgesetzes und des Sozialgesetzbuches erhoben, verarbeitet und genutzt.","Ссылка на Федеральный закон о защите персональных данных: сбор, обработка и использование персональных данных производится на основании и во исполнение §§31, 62-78 Закона о подоходном налоге и положений налогового кодекса либо на основании Федерального закона о детских пособиях и Кодекса социального права."
"Ich versichere, dass ich alle Angaben (auch in den Anlagen) vollständig und wahrheitsgetreu gemacht habe. Mir ist bekannt, dass ich alle Änderungen, die für den Anspruch auf Kindergeld von Bedeutung sind, unverzüglich der Familienkasse mitzuteilen habe. Das Merkblatt Kindergeld habe ich erhalten und von seinem Inhalt Kenntnis genommen.","Я гарантирую, что все сведения (в том числе в приложениях) указаны мной со всей полнотой и достоверностью. Мне известно, что о любых изменениях, обладающих значимостью в отношении права на детское пособие, я должен/должна незамедлительно сообщать в соответствующее отделение социальной службы по защите семьи (т.н. ""семейную кассу""). Получение памятки о детских пособиях подтверждаю. С содержанием памятки ознакомлен(а)."
"Datum","Дата"
"Ich bin damit einverstanden, dass dem/der Antragsteller/in das Kindergeld gezahlt wird.","Я согласен(-сна) с тем, что детское особие будет выплачено Заявителю(-льнице)."
"Unterschrift des/der Antragsteller/in bzw. des/der gesetzlichen Vertreters/Vertreterin","Подпись Заявителя(-льницы) или его/ее законного представителя"
"Unterschrift des gemeinsam mit dem/der Antragsteller/in in einem Haushalt lebenden Ehegatten/Ehegattin bzw. Lebenspartners/Lebenspartnerin oder anderen Elternteils bzw. dessen/deren gesetzlichen/gesetzliche Vertreters/Vertreterin","Подпись мужа/жены либо зарегистрированного партнера/партнерши, проживающего(-щей) совместно с Заявителем(-льницей) или второго родителя либо законного представителя"
"Alle Eingaben löschen","Удалить все данные"
"Drucken","Распечатать"
"Speichern","Сохранить"
"Nur von der Familienkasse auszufüllen","Заполняется исключительно сотрудником отделения социальной службы по защите семьи (""Семейной кассы"")"
"Hinweise zum Antrag auf Kindergeld und zur Anlage Kind","Указания по заполнению заявления на получение детского пособия и приложения ""Сведения о ребенке"""
"Füllen Sie bitte den Antragsvordruck und die Anlage Kind sorgfältig und gut leserlich aus und kreuzen Sie das Zutreffende an. Vergessen Sie Ihre *Unterschrift* nicht! Sofern Sie minderjährig sind, muss Ihr gesetzlicher Vertreter für Sie unterschreiben.","Пожалуйста, заполните бланк заявления и приложение ""Сведения о ребенке"" аккуратно и разборчиво, отметьте подходящие пункты крестиком. Не забудьте поставить Вашу *подпись*! Если Вы являетесь несовершеннолетним лицом, за Вас должен расписаться Ваш законный представитель."
"Lassen Sie den Antrag *auch* von dem mit Ihnen gemeinsam in ein em Haushalt lebenden Ehegatten bzw. Lebenspartner/anderen Elternteil unterschreiben, wenn er damit einverstanden ist, dass Sie das Kindergeld erhalten. Wenn kein Einvernehmen besteht, teilen Sie dies bitte der Familienkasse mit. Wurde der Berechtigte gerichtlich bestimmt, fügen Sie bitte den Beschluss bei.","Под заявлением *также* должен подписаться Ващ/Ваша супруг/супруга, проживающий(-ая) совместно с Вами, либо зарегистрированный партнер/второй родитель, если он/она согласен (-а), чтобы Вы получали детское пособие. Если взаимное согласие не достигнуто, пожалуйста, сообщите об этом в отделение социальной службы по защите семьи (""Семейную кассу""). Если лицо, имеющее право на детское пособие, определено судом, приложите, пожалуйста, решение суда."
"Bitte beachten Sie, dass Ihr Antrag nur bearbeitet werden kann, wenn er *vollständig ausgefüllt* wurde.","Пожалуйста, имейте в виду, что Ваше заявление может быть обработано только в том случае, если оно *заполнено полностью*."
"Seit dem 01.01.2016 ist Voraussetzung für den Anspruch auf Kindergeld, dass die anspruchsberechtigte Person und das Kind durch die an sie vergebenen steuerlichen Identifikationsnummern (§ 139b der Abgabenordnung) identifiziert werden. Seit 2008 wird jeder Person, die mit Hauptwohnung oder alleiniger Wohnung in einem Melderegister in Deutschland erfasst ist, eine steuerliche Identifikationsnummer zugeteilt. Personen, die nicht melderechtlich erfasst, aber in Deutschland steuerpflichtig sind, erhalten ebenfalls eine steuerliche Identifikationsnummer.","С 1-го января 2016 года препосылкой для правопритязания на детское пособие является идентификация выданных налоговых идентификационных номеров (§ 139b Положения о налогах и платежах) лицам, имеющим право на получение пособия. С 2008 года налоговый идентификационный номер присваивается каждому лицу, зарегистрированному в регистрационной службе Германии, проживающему в основном или единственном месте жительства. Лицам, не внесенным в регистрационные списки, но которые обязаны платить налоги в Германии, выдается налоговый идентификационный номер."
"Ihre steuerliche Identifikationsnummer und die Ihres Kindes finden Sie im jeweiligen Mitteilungsschreiben des Bundeszentralamtes für Steuern. Ihre Nummer ist auch auf der elektronischen Lohnsteuerbescheinigung Ihres Arbeitgebers oder in Ihrem Einkommensteuerbescheid verzeichnet. Sollten Sie Ihre steuerliche Identifikationsnummer in den genannten Unterlagen nicht finden, können Sie mit dem Eingabeformular im Internetportal des Bundeszentralamtes für Steuern **www.bzst.de** um erneute Zusendung bitten. Die Mitteilung der steuerlichen Identifikationsnummer durch das Bundeszentralamt für Steuern erfolgt schriftlich. Aus datenschutzrechtlichen Gründen kann sie weder telefonisch noch per E-Mail übermittelt werden.","Ваш налоговый идентификационный номер и номер Вашего ребенка Вы найдете в соответствующем письменном уведомлении от Федерального центрального ведомства по налогам. Ваш номер также указан в справке от Вашего работодателя об уплате налога на заработную плату или в справке о подоходном налоге. В случае, если Вы не можете найти Ваш налоговый идентификационный номер в указанных документах, Вы можете повторно запросить его получение с помощью формуляра для ввода данных на интернет-портале Федерального центрального ведомства по налогам **www.bzst.de**. Выдача налогового идентификационного номера от Федерального центрального ведомства по налогам осуществляется в письменном виде. По причине законодательных положений о защите данных получение этого документа невозможно ни по телефону, ни по электронной почте."
"Wenn Sie aus dem Ausland nach Deutschland umziehen, erhalten Sie automatisch vom Bundeszentralamt für Steuern Ihre steuerliche Identifikationsnummer per Post, wenn Sie sich beim Einwohnermeldeamt gemeldet haben. Die steuerliche Identifikationsnummer Ihres Kindes wird unmittelbar nach der Geburt an dessen Meldeadresse versandt. Für Kinder, die sich mittlerweile im Ausland aufhalten, die aber im Inland bereits eine steuerliche Identifikationsnummer erhalten haben, geben Sie bitte die im Inland erhaltene steuerliche Identifikationsnummer an. Wird für das Kind in Deutschland keine steuerliche Identifikationsnummer vergeben, weil es z. B. im Ausland lebt, dann ist das Kind auf andere geeignete Weise mit Hilfe der in den jeweiligen Ländern gebräuchlichen Personenidentifikationsmerkmale und Dokumente zu identifizieren. Welche Nachweise genau benötigt werden, erfahren Sie von Ihrer Familienkasse.","Если Вы переезжаете из заграницы в Германию, то Вы автоматически получите Ваш налоговый идентификационный номер по почте от Федерального центрального ведомства по налогам, если Вы зарегистрированы в паспортном столе. Налоговый идентификационный номер Вашего ребенка будет переслан незамедлительно после его рождения на адрес его прописки. Укажите, пожалуйста, тот идентификационный номер детей, находящихся в данный момент заграницей, который был уже получен в пределах территории Германии. Если ребенку в Германии не был выдан идентификационный налоговый номер, например, потому что он проживет заграницей, тогда такой ребенок идентифицируется другим подходящим образом с помощью персональных идентификационных признаков и документов, приемлемых в той или иной стране. Ваше отделение социальной службы по защите семьи (""семейная касса"") сообщит Вам о том, какие именно документы для этого необходимы."
"Weitere Fragen zur steuerlichen Identifikationsnummer als Anspruchsvoraussetzungen werden unter **www.bzst.de** beantwortet.","Ответы на другие вопросы по поводу идентификационного налогового номера как условия для правопритязания даются на интернет-портале **www.bzst.de**."
"Zu 1 und 2: Angaben zur antragstellenden Person und zum/zur Ehegatten/Ehegattin bzw. Lebenspartner/in","Пояснения к разделам 1 и 2: Сведения о Заявителе и его (ее) супруге или зарегистрированном партнере"
"Wenn beide Elternteile eines Kindes die Voraussetzungen für den Anspruch auf Kindergeld erfüllen, ist als antragstellende Person der Elternteil einzutragen, der nach dem Willen beider Elternteile das Kindergeld erhalten soll. Beim Familienstand ist nur dann „dauernd getrennt lebend“ anzukreuzen, wenn bei Ehepaaren mindestens ein Ehepartner die Absicht hat, die Trennung ständig aufrechtzuerhalten. Sofern Sie nicht verheiratet sind oder Ihr/Ihre Ehegatte/Ehegattin bzw. Lebenspartner/in nicht zugleich der andere leibliche Elternteil mindestens eines der in der/den „Anlage/n Kind“ aufgeführten Kinder ist, teilen Sie die Angaben zum anderen leiblichen Elternteil (bei Pflege- oder Enkelkindern zu beiden leiblichen Elternteilen) bitte auf der jeweiligen „Anlage Kind“ mit.","Если оба родителя ребенка соответствуют предпосылкам для получения детского пособия, в качестве заявителя указывается то лицо, которое будет получать пособие по решению обоих родителей. Под ""семейное положение"" надо отметить ""проживаю отдельно от супруга/супруги длительное время"" только тогда, когда по крайней мере один из супругов хочет продолжать проживать раздельно. Если вы не замужем/не женаты или ваш/а супруг/а или партнер не является биологическим родителем по крайней мере одного из детей, указанных в Приложении о ребенке („Anlage Kind“), сообщите, пожалуйста, сведения о другом биологическом родителе в соответсвующем Приложении („Anlage Kind“) (для приемных детей или внуков - свдения об обоих биологических родителях)."
"Sofern Sie **nicht** die deutsche Staatsangehörigkeit oder die Staatsangehörigkeit eines EU-/EWR-Staates bzw. der Schweiz besitzen, fügen Sie bitte einen **Nachweis über den Aufenthaltstitel** bei.","Если у вас **нет** немецкого гражданства, или гражданства страны ЕС/ЕЭЗ либо Швейцарии, приложите **подтверждение статуса пребывания**."
"Zu 4: Der Bescheid soll nicht mir, sondern folgender Person zugesandt werden","Пояснения к разделу 4: прошу выслать уведомление не мне, а нижеуказанному лицу:"
"Hier können Sie einen/eine Empfangsbevollmächtigten/Empfangsbevollmächtigte (z. B. Steuerberater, Lohnsteuerhilfeverein etc.) angeben, welcher den Bescheid über Kindergeld erhalten soll.","Здесь вы можете указать лицо, уполномоченное на получение свидетельства о выплате детского пособия (например консультант по налоговым вопросам, бюро содействия по вопросам подоходного налога и пр.)"
"Zu 6: Folgende Zählkinder sollen berücksichtigt werden","К разделу 6: прошу принять во внимание следующих ""учетных детей"""
"Kinder, für die eine andere Person Kindergeld erhält, können sich bei Ihnen kindergelderhöhend auswirken (Zählkinder). Sofern Sie die Berücksichtigung von Zählkindern geltend machen wollen, geben Sie bitte in jedem Fall an, wer für die Zählkinder das Kindergeld bei welcher Familienkasse bezieht.","Дети, пособие на которых получает другое лицо, могут способствовать повышению размера детского пособия (т.н. ""учетные дети""). Если Вы хотите, чтобы ""учетные дети"" были приняты во внимание при расчете пособия, укажите, пожалуйста, в каждом отдельном случае, кто и в каком отделении социальной службы по защите семьи (""семейной кассе"") получает на них пособие."
"Anlage Kind","Сведения о ребенке"
"Allgemeines","Общие указания"
"Bitte füllen Sie die „Anlage Kind“ vollständig aus. Beim Antrag aufgrund der Geburt eines Kindes ist eine Kopie der Geburtsbescheinigung für Kindergeld oder der Geburtsurkunde erforderlich und ausreichend, wenn keine Zweifel bestehen, dass das Kind in den Haushalt der Eltern aufgenommen ist. Bei einem im Ausland geborenen Kind ist als Nachweis die Geburtsurkunde ausreichend. Für über 18 Jahre alte Kinder ist die Anlage nur auszufüllen, wenn sie eine der im Merkblatt Kindergeld genannten besonderen Voraussetzungen erfüllen. Entsprechende Nachweise (z. B. über die Schul- oder Berufsausbildung) sind beizufügen. Bei angenommenen (adoptierten) Kindern bitte den Annahmebeschluss des Familiengerichts beifügen.","Просьба заполнить Приложение о ребёнке („Anlage Kind“ ) полностью. При подаче ходатайства о детском пособии после рождения приложение копии свидетельства о рождении либо справки для ходатайства о детском пособии необходимо и достаточно, если нет сомнений в том, что ребенок принят в домашнее хозяйство родителей. Если ребенок родился за границей, достаточно свидетельства о рождении. Для детей возрастом старше 18 лет Приложение заполняется только в том случае, если имеет место одна из предпосылок, указанных в Памятке о детских пособиях. Необходимо приложить соответствующие доказательства (например, о школьном или профессиональном обучении). Если ребенок усыновлен, приложите решение семейного суда."
"„Andere Personen“, zu denen ein Kindschaftsverhältnis besteht, sind: Eltern, Stiefeltern, Adoptiveltern, Pflegeeltern, Großeltern.","Другие лица, имеющие родственные отношения с ребенком – это родители, мачеха/отчим, приемные родители, приемные родители без права родительской опеки, бабушка/дедушка."
"Zu 1: Angaben zum Kind","К разделу 1: Сведения о ребенке"
"Wenn Kinder außerhalb Ihres Haushalts leben, geben Sie den Grund an (z.B. Unterbringung bei Großeltern, in einer Pflegestelle/einem Heim, wegen Schul- oder Berufsausbildung).","Если дети живут вне Вашего домохозяйства, указывайте причину (у дедушки и бабушки, в детском доме, из-за школьного или профессионального обучения)"
"Zu 2: Kindschaftsverhältnis zur antragstellenden Person, zum/zur Ehegatten/Ehegattin bzw. Lebenspartner/in und zu anderen Personen","К разделу 2: Родственные отношения ребенка к Заявителю, супругу/е, партнеру или другим лицам"
"Die Eintragung der hier abgefragten Angaben ist **in jedem Fall** erforderlich. Wenn der andere Elternteil / die Eltern des Kindes verstorben sind, ist dies durch den Zusatz „verstorben“ anzugeben. Ist für ein Kind die Vaterschaft nicht rechtswirksam festgestellt worden, ist „unbekannt“ bzw. „Vaterschaft nicht festgestellt“ einzutragen.","Указание запрошенных здесь сведений обязательно в любом случае. Если другой родитель/родители умер/ли, необходимо дополнительно указать ""умер/ла/ли"". Если отцовство юридически не было признано, запишите ""неизвестно"" либо ""отцовство не установлено""."
"Zu 3: Angaben für ein volljähriges Kind","К разделу 3: Сведения о совершеннолетнем ребенке"
"Besondere Anspruchsvoraussetzungen","Особые условия для правопритязаний на пособие"
"Die Berücksichtigung eines volljährigen Kindes ist möglich, wenn es","Вы можете претендовать на пособие для совершеннолетнего ребенка, если он"
"1. noch nicht das 21. Lebensjahr vollendet hat, nicht in einem Beschäftigungsverhältnis steht und bei einer Agentur für Arbeit im Inland als Arbeitsuchender gemeldet ist oder","1. еще не достиг возраста 21 года, не состоит в трудовых отношениях и зарегистрирован в агентстве по трудоустройству внутри страны как лицо, ищущее работу или"
"2. noch nicht das 25. Lebensjahr vollendet hat und","2. еще не достиг возраста 25 полных лет и"
"a) für einen Beruf ausgebildet wird oder","a) проходит профессиональное обучение или"
"b) sich in einer Übergangszeit von höchstens vier Monaten befindet oder","b) находится в промежуточном периоде после прекращения обучения не дольше четырех месяцев или"
"c) eine Berufsausbildung mangels Ausbildungsplatzes nicht beginnen oder fortsetzen kann oder","c) не может начать или продолжить профессиональное обучение из-за нехватки учебных мест или"
"d) einen geregelten Freiwilligendienst leistet oder","d) занят на регламентированной добровольной службе или"
"3. wegen körperlicher, geistiger oder seelischer Behinderung außerstande ist, sich selbst zu unterhalten; Voraussetzung ist, dass die Behinderung vor Vollendung des 25. Lebensjahres eingetreten ist (ohne Altersgrenze).","не в состоянии содержать себя самостоятельно вследствие физического, психического либо умственного ограничения; при условии, что такое ограничение появилось до момента достижения возраста 25 лет (без возрастного предела)."
"Rechtslage ab 2012","Правовая ситуация начиная с 2012 года"
"Nach Abschluss einer erstmaligen Berufsausbildung oder eines Erststudiums wird ein Kind in den Fällen der Nummer 2 (a bis d) nur berücksichtigt, wenn das Kind keiner (schädlichen) Erwerbstätigkeit nachgeht.","После окончания первого профессионального обучения или получения первого высшего образования ребенку и дальше может начисляться детское пособие в случаях, перечисленных в пункте 2 (а-d), только при условии, что ребенок не занимается никакой (вредной) трудовой деятельностью."
"Eine Ausbildung (Berufsausbildung oder Studium) ist grundsätzlich abgeschlossen, wenn sie zur Ausübung eines Berufs befähigt, auch wenn das Kind später eine weitere Ausbildung aufnimmt. Wurde jedoch das angestrebte Berufsziel mit dem erworbenen Abschluss noch nicht erreicht, kann auch eine weiterführende Ausbildung noch Teil der Erstausbildung sein, wenn die Ausbildungsabschnitte in einem engen sachlichen Zusammenhang zueinander stehen und in engem zeitlichen Zusammenhang durchgeführt werden.","Профессиональное обучение (обучение профессии или учеба в высшем учебном заведении) считается тогда завершенным, когда оно дает право на осуществление профессии, даже если за этим следует дополнительное обучение. Если желаемое образование с документом об образовании еще не было получено, то возможно еще последующее обучение как часть первичного обучения, если этапы обучения тесно связаны между собой в предметном отношении и проводятся близко относительно друг друга по времени."
"Ein Kind ist erwerbstätig, wenn es einer auf die Erzielung von Einkünften gerichteten Beschäftigung nachgeht, die den Einsatz seiner persönlichen Arbeitskraft erfordert. Hieraus folgt, dass der Begriff „Erwerbstätigkeit“ durch eine nichtselbständige Tätigkeit, eine land- und forstwirtschaftliche, eine gewerbliche und eine selbständige Tätigkeit erfüllt werden kann. Die Verwaltung eigenen Vermögens ist demgegenüber keine Erwerbstätigkeit.","Ребенок считается работающим, если он занят каким-либо видом деятельности, направленным на получение доходов и требующим его собственного труда. Отсюда следует, что понятию ""трудовая деятельность"" может соответствовать труд по найму, сельско- и лесохозяйственная, промысловая и предпринимательская деятельность. Управление личным имуществом, напротив, не является трудовой деятельностью."
"Bitte weisen Sie die wöchentliche Arbeitszeit anhand geeigneter Unterlagen (z.B. Arbeitsvertrag / Bescheinigung des Arbeitgebers) nach. Wurde von den vertraglich vereinbarten Arbeitszeiten abgewichen, kann ein Nachweis hierfür durch Vorlage von Gehaltsabrechnungen, einem Auszug aus dem Arbeitskonto oder einer Arbeitgeberbescheinigung erfolgen. Fehlzeiten aufgrund von Urlaub, Krankheit oder ähnliches mindern die vertraglich vereinbarte Arbeitszeit nicht.","Просьба предоставить подтверждение недельного времени работы посредством соответствующих документов (трудовой договор/ свидетельство от работодателя). Если время работы не идентично с установленным в договоре, в качестве подтверждения можно предоставить расчеты рабочей платы, выписку из трудового счета или свидетельство от работодателя. Отсутствия из-за каникул, болезни, и.т.п. не влияют на установленное в договоре время работы."
"Rechtslage bis 2011","Правовая ситуация до 2011 года включительно"
"Die Berücksichtigung eines über 18 Jahre alten Kindes hinsichtlich der Zahlung von Kindergeld ist ausgeschlossen, wenn das Kind Einkünfte und Bezüge von mehr als 8.004 Euro hat, die zur Bestreitung seines Unterhalts oder seiner Berufsausbildung bestimmt oder geeignet sind. Aus diesem Grund ist der Antrag auf Kindergeld für ein volljähriges Kind immer um die „Erklärung zu den Einkünften und Bezügen“ und ggf. die „Erklärung zu den Werbungskosten“ zu ergänzen.","Рассмотрение вопроса о выплате детского пособия на ребенка старше 18 лет исключено, если ребенок имеет доходов и прибыли более чем 8004 Евро, предназначенных или достаточных для покрытия расходов на его содержание или профессиональное обучение. Исходя из этого, заявление на предоставление детского пособия на совершеннолетнего ребенка всегда должно быть дополнено ""Разъяснением о прибылях и доходах"" и, в соответствующих случаях, ""Разъяснением об издержках, связанных с профессиональной деятельностью""."
"Zu 5: Anspruch auf eine Geldleistung von einer Stelle außerhalb Deutschlands / von einer zwischen- oder überstaatlichen Stelle","К разделу 5: Право на получение денежных выплат от учреждений за пределами Германии/от межгосударственных или надгосударственных учреждений"
"Hier sind beispielsweise Ansprüche auf kindbezogene Familienleistungen, die im Ausland bestehen oder Ansprüche auf kindbezogene Leistungen von einer Beschäftigungsbehörde (z. B. der Europäischen Union) einzutragen.","Здесь указываются, например, притязания на семейные пособия в связи с ребенком, имеющие место зарубежом или притязания на семейные пособия в связи с ребенком от учреждения, ответственного за трудоустройство (например, относящегося к Европейскому Союзу)."
"Zu 6: Sind oder waren Sie oder eine andere Person, zu der das Kind in einem Kindschaftsverhältnis steht, in den letzten 5 Jahren vor der Antragstellung: (...)","К разделу 6: Вы или другое лицо, обладающее родительскими полномочиями в отношении ребенка, занимаетесь или занимались какими-либо из следующих видов деятельности за последние 5 лет до момента подачи данного заявления: (...)"
"„Tätigkeit im öffentlichen Dienst“ bedeutet eine Tätigkeit als Beamter/Versorgungsempfänger/(Tarif-)Beschäftigte des Bundes, eines Landes, einer Gemeinde, eines Gemeindeverbandes oder einer sonstigen Körperschaft, Anstalt oder Stiftung des öffentlichen Rechts oder als Richter, Berufssoldat oder Soldat auf Zeit.","""Деятельность на государственной службе"" - деятельность в качестве чиновника /получателя обеспечения/служащего Федерального ведомства, земли, общины, объединения общин или другого учреждения, публично-правовой корпорации, или в качестве судьи, военного или контрактника."
"Hierzu zählt auch die bei einem privaten Arbeitgeber ausgeübte Tätigkeit, soweit Angehörige des öffentlichen Dienstes hierfür beurlaubt worden sind. Nicht zum öffentlichen Dienst zählen Religionsgemeinschaften des öffentlichen Rechts (Kirchen einschl. der Ordensgemeinschaften, kirchlichen Krankenhäuser, Schulen, Kindergärten und ähnliches) sowie die Spitzen-/Mitgliedsverbände der freien Wohlfahrtspflege und die ihnen angeschlossenen Einrichtungen.","Это включает в себя также деятельность у частного работодателя, если сотрудники государственной службы временно освобождались для этого. Государственной службой не считаются публично-правовые религиозные общины (церквы включая ордена, церковные больницы, школы, детские сады и т.д.), а также союзы свободной благотворительной помощи и связанные с ними учреждения."
"Die Fragen 6b bzw. 6c sind auch dann mit „ja“ zu beantworten, wenn Sie, Ihr Ehegatte bzw. Lebenspartner oder eine andere Person, zu der eines der Kinder in einem Kindschaftsverhältnis steht, im diplomatischen oder konsularischen Dienst tätig sind oder waren.","На вопросы под пунктами b) либо c) раздела 6 следует ответить ""да"" также в том случае, если Вы, Ваш(а) супруг/супруга либо зарегистрированный партнер или другое лицо, имеющее родительские полномочия в отношении кого-либо из детей, состоял(а) или состоит на дипломатической или консульской службе."
"Ausführliche Informationen zum Kindergeld finden Sie im Internet unter www.bzst.de bzw. unter www.familienkasse.de.","Подробную информацию о детском пособии вы можете найти в интернете под www.bzst.de или www.familienkasse.de."
