Kindergeld-Nr.,Dečiji dodatak-Br.
Steuerliche Identifikationsnummer der antragstellenden Person (zwingend ausfüllen),
Familienkasse,Porodična kasa
Beachten Sie bitte die anhängenden Hinweise und das Merkblatt Kindergeld.,Molimo vas da obratite pažnju na uputstva u prilogu kao i na informator o dečijem dodatku
Telefonische Rückfrage tagsüber unter Nr.:,Telefonska obaveštenja preko dana na br:
Antrag auf Kindergeld,Zahtev za dečijim dodatkom
"Bitte fügen Sie für jedes Kind, für das Kindergeld beantragt wird, eine „Anlage Kind“ bei.",
"Anzahl der beigefügten ""Anlage Kind""",
Angaben zur antragstellenden Person,
Name,Ime
Titel,
Vorname,Prezime
ggf. Geburtsname und Name aus früherer Ehe,
Geburtsdatum,Datum rođenja
Geburtsort,
Geschlecht,Pol
Staatsangehörigkeit (bei **nicht** EU-/EWR-Staatsangehörigkeit bitte Nachweis Aufenthaltstitel beifügen),
"Anschrift (Straße/Platz, Hausnummer, Postleitzahl, Wohnort, Wohnland)",
Familienstand,
ledig,neoženjen/neudata
seit,od
verheiratet,oženjen/udata
verwitwet,udovac/udovica
in Lebenspartnerschaft lebend,živi u registrovanoj životnoj zajednici
geschieden,razveden/razvedena
dauernd getrennt lebend,živi trajno razdvojeno
Angaben zum/zur Ehegatten/Ehegattin bzw. Lebenspartner/in der antragstellenden Person,
Staatsangehörigkeit,
"Anschrift, wenn abweichend vom Antragsteller/in (Straße/Platz, Hausnummer, Postleitzahl, Wohnort, Wohnland)",
Angaben zum Zahlungsweg,
IBAN,
BIC,
"Bank, Finanzinstitut (ggf. auch Zweigstelle)",
Kontoinhaber/in ist,
antragstellende Person wie unter 1,lice koje podnosi zahtev kao što je navedeno pod tačkom 1
"nicht antragstellende Person, sondern:","nije lice koje podnosi zahtev, već:"
"Name, Vorname","Ime, prezime"
"Der Bescheid soll nicht mir, sondern folgender Person zugesandt werden:","Rešenje ne treba dostaviti meni, već treba slati sledećem licu:"
Angaben zu Kindern,Podaci o deci
"Für jedes Kind, für das Kindergeld neu beantragt wird, ist eine gesonderte „Anlage Kind“ ausgefüllt einzureichen.",
Für folgende Kinder beziehe ich bereits Kindergeld,
"(auch in Fällen der abweichenden Kontoverbindung, Abzweigung und Erstattung):",
Vorname des Kindes ggf. abweichender Familienname,
"Bei welcher Familienkasse (Kindergeldnummer, Personalnummer)?",
Folgende Zählkinder sollen berücksichtigt werden:,U razmatranje uzeti sledeću decu koja se računaju:
"Wer bezieht das Kindergeld (Name, Vorname)?",
"Hinweis nach dem Bundesdatenschutzgesetz: Die Daten werden aufgrund und zum Zweck der §§ 31, 62 bis 78 Einkommenssteuergesetz und der Regelungen der Abgabenordnung bzw. aufgrund des Bundeskindergeldgesetzes und des Sozialgesetzbuches erhoben, verarbeitet und genutzt.",
"Ich versichere, dass ich alle Angaben (auch in den Anlagen) vollständig und wahrheitsgetreu gemacht habe. Mir ist bekannt, dass ich alle Änderungen, die für den Anspruch auf Kindergeld von Bedeutung sind, unverzüglich der Familienkasse mitzuteilen habe. Das Merkblatt Kindergeld habe ich erhalten und von seinem Inhalt Kenntnis genommen.",
Datum,Datum
"Ich bin damit einverstanden, dass dem/der Antragsteller/in das Kindergeld gezahlt wird.",
Unterschrift des/der Antragsteller/in bzw. des/der gesetzlichen Vertreters/Vertreterin,
Unterschrift des gemeinsam mit dem/der Antragsteller/in in einem Haushalt lebenden Ehegatten/Ehegattin bzw. Lebenspartners/Lebenspartnerin oder anderen Elternteils bzw. dessen/deren gesetzlichen/gesetzliche Vertreters/Vertreterin,
Alle Eingaben löschen,Izbrisati sve unose
Drucken,Štampati
Speichern,Memorisati
Nur von der Familienkasse auszufüllen,Popunjava isključivo Porodična kasa
Hinweise zum Antrag auf Kindergeld und zur Anlage Kind,Napomene uz Zahtev za dečijim dodatkom i uz Predmet Dete
"Füllen Sie bitte den Antragsvordruck und die Anlage Kind sorgfältig und gut leserlich aus und kreuzen Sie das Zutreffende an. Vergessen Sie Ihre *Unterschrift* nicht! Sofern Sie minderjährig sind, muss Ihr gesetzlicher Vertreter für Sie unterschreiben.",
"Lassen Sie den Antrag *auch* von dem mit Ihnen gemeinsam in ein em Haushalt lebenden Ehegatten bzw. Lebenspartner/anderen Elternteil unterschreiben, wenn er damit einverstanden ist, dass Sie das Kindergeld erhalten. Wenn kein Einvernehmen besteht, teilen Sie dies bitte der Familienkasse mit. Wurde der Berechtigte gerichtlich bestimmt, fügen Sie bitte den Beschluss bei.",
"Bitte beachten Sie, dass Ihr Antrag nur bearbeitet werden kann, wenn er *vollständig ausgefüllt* wurde.",
"Seit dem 01.01.2016 ist Voraussetzung für den Anspruch auf Kindergeld, dass die anspruchsberechtigte Person und das Kind durch die an sie vergebenen steuerlichen Identifikationsnummern (§ 139b der Abgabenordnung) identifiziert werden. Seit 2008 wird jeder Person, die mit Hauptwohnung oder alleiniger Wohnung in einem Melderegister in Deutschland erfasst ist, eine steuerliche Identifikationsnummer zugeteilt. Personen, die nicht melderechtlich erfasst, aber in Deutschland steuerpflichtig sind, erhalten ebenfalls eine steuerliche Identifikationsnummer.",
"Ihre steuerliche Identifikationsnummer und die Ihres Kindes finden Sie im jeweiligen Mitteilungsschreiben des Bundeszentralamtes für Steuern. Ihre Nummer ist auch auf der elektronischen Lohnsteuerbescheinigung Ihres Arbeitgebers oder in Ihrem Einkommensteuerbescheid verzeichnet. Sollten Sie Ihre steuerliche Identifikationsnummer in den genannten Unterlagen nicht finden, können Sie mit dem Eingabeformular im Internetportal des Bundeszentralamtes für Steuern **www.bzst.de** um erneute Zusendung bitten. Die Mitteilung der steuerlichen Identifikationsnummer durch das Bundeszentralamt für Steuern erfolgt schriftlich. Aus datenschutzrechtlichen Gründen kann sie weder telefonisch noch per E-Mail übermittelt werden.",
"Wenn Sie aus dem Ausland nach Deutschland umziehen, erhalten Sie automatisch vom Bundeszentralamt für Steuern Ihre steuerliche Identifikationsnummer per Post, wenn Sie sich beim Einwohnermeldeamt gemeldet haben. Die steuerliche Identifikationsnummer Ihres Kindes wird unmittelbar nach der Geburt an dessen Meldeadresse versandt. Für Kinder, die sich mittlerweile im Ausland aufhalten, die aber im Inland bereits eine steuerliche Identifikationsnummer erhalten haben, geben Sie bitte die im Inland erhaltene steuerliche Identifikationsnummer an. Wird für das Kind in Deutschland keine steuerliche Identifikationsnummer vergeben, weil es z. B. im Ausland lebt, dann ist das Kind auf andere geeignete Weise mit Hilfe der in den jeweiligen Ländern gebräuchlichen Personenidentifikationsmerkmale und Dokumente zu identifizieren. Welche Nachweise genau benötigt werden, erfahren Sie von Ihrer Familienkasse.",
Weitere Fragen zur steuerlichen Identifikationsnummer als Anspruchsvoraussetzungen werden unter **www.bzst.de** beantwortet.,
Zu 1 und 2: Angaben zur antragstellenden Person und zum/zur Ehegatten/Ehegattin bzw. Lebenspartner/in,Uz 1 i 2: Podaci o licu koje podnosi Zahtev i o bračnom partneru odn. životnom partneru
"Wenn beide Elternteile eines Kindes die Voraussetzungen für den Anspruch auf Kindergeld erfüllen, ist als antragstellende Person der Elternteil einzutragen, der nach dem Willen beider Elternteile das Kindergeld erhalten soll. Beim Familienstand ist nur dann „dauernd getrennt lebend“ anzukreuzen, wenn bei Ehepaaren mindestens ein Ehepartner die Absicht hat, die Trennung ständig aufrechtzuerhalten. Sofern Sie nicht verheiratet sind oder Ihr/Ihre Ehegatte/Ehegattin bzw. Lebenspartner/in nicht zugleich der andere leibliche Elternteil mindestens eines der in der/den „Anlage/n Kind“ aufgeführten Kinder ist, teilen Sie die Angaben zum anderen leiblichen Elternteil (bei Pflege- oder Enkelkindern zu beiden leiblichen Elternteilen) bitte auf der jeweiligen „Anlage Kind“ mit.",
"Sofern Sie **nicht** die deutsche Staatsangehörigkeit oder die Staatsangehörigkeit eines EU-/EWR-Staates bzw. der Schweiz besitzen, fügen Sie bitte einen **Nachweis über den Aufenthaltstitel** bei.",
"Zu 4: Der Bescheid soll nicht mir, sondern folgender Person zugesandt werden",
"Hier können Sie einen/eine Empfangsbevollmächtigten/Empfangsbevollmächtigte (z. B. Steuerberater, Lohnsteuerhilfeverein etc.) angeben, welcher den Bescheid über Kindergeld erhalten soll.",
Zu 6: Folgende Zählkinder sollen berücksichtigt werden,"Molimo vas navedite tekući račun na koji treba uplaćivati dečiji dodatak. IBAN (Međunarodni broj bankovnog računa) i BIC (međunarodni, standardizovani kod banke) zamenjuju dosadašnje nacionalne podatke o računu i mogu se naći na izvodu iz banke."
"Kinder, für die eine andere Person Kindergeld erhält, können sich bei Ihnen kindergelderhöhend auswirken (Zählkinder). Sofern Sie die Berücksichtigung von Zählkindern geltend machen wollen, geben Sie bitte in jedem Fall an, wer für die Zählkinder das Kindergeld bei welcher Familienkasse bezieht.",Uz 6: U obzir treba uzeti sledeću decu koja se računaju
Anlage Kind,Predmet Dete
Allgemeines,Predmet Dete
"Bitte füllen Sie die „Anlage Kind“ vollständig aus. Beim Antrag aufgrund der Geburt eines Kindes ist eine Kopie der Geburtsbescheinigung für Kindergeld oder der Geburtsurkunde erforderlich und ausreichend, wenn keine Zweifel bestehen, dass das Kind in den Haushalt der Eltern aufgenommen ist. Bei einem im Ausland geborenen Kind ist als Nachweis die Geburtsurkunde ausreichend. Für über 18 Jahre alte Kinder ist die Anlage nur auszufüllen, wenn sie eine der im Merkblatt Kindergeld genannten besonderen Voraussetzungen erfüllen. Entsprechende Nachweise (z. B. über die Schul- oder Berufsausbildung) sind beizufügen. Bei angenommenen (adoptierten) Kindern bitte den Annahmebeschluss des Familiengerichts beifügen.",
"„Andere Personen“, zu denen ein Kindschaftsverhältnis besteht, sind: Eltern, Stiefeltern, Adoptiveltern, Pflegeeltern, Großeltern.","Ukoliko je vaše dete invalid, molimo vas da dodatno popunite formular „Zahtev za punoletno dete koje je invalid“. Kod dece pod starateljstvom molimo priložiti i Rešenje o starateljstvu izdato od strane nadležnog suda."
Zu 1: Angaben zum Kind,"„Druga lica“ sa kojima je dete u srodstvu su: Roditelji, očuh, maćeha, staratelji, hranitelji, babe i dede."
"Wenn Kinder außerhalb Ihres Haushalts leben, geben Sie den Grund an (z.B. Unterbringung bei Großeltern, in einer Pflegestelle/einem Heim, wegen Schul- oder Berufsausbildung).",
"Zu 2: Kindschaftsverhältnis zur antragstellenden Person, zum/zur Ehegatten/Ehegattin bzw. Lebenspartner/in und zu anderen Personen",
"Die Eintragung der hier abgefragten Angaben ist **in jedem Fall** erforderlich. Wenn der andere Elternteil / die Eltern des Kindes verstorben sind, ist dies durch den Zusatz „verstorben“ anzugeben. Ist für ein Kind die Vaterschaft nicht rechtswirksam festgestellt worden, ist „unbekannt“ bzw. „Vaterschaft nicht festgestellt“ einzutragen.",
Zu 3: Angaben für ein volljähriges Kind,"Vde je neophodno uneti sve tražene podatke. Ukoliko je drugi roditelj -/ su roditelji deteta preminuo-preminuli, taj podatak mora biti naveden uz napomenu „preminuo“. Ukoliko za dete očinstvo nije pravno utvrđeno, potrebno je upisati „nepoznat“, odn. upisati „nije utvrđeno očinstvo“."
Besondere Anspruchsvoraussetzungen,Uz 3: Podaci o punoletnom detetu
"Die Berücksichtigung eines volljährigen Kindes ist möglich, wenn es",Posebni preduslovi za zahtev
"1. noch nicht das 21. Lebensjahr vollendet hat, nicht in einem Beschäftigungsverhältnis steht und bei einer Agentur für Arbeit im Inland als Arbeitsuchender gemeldet ist oder",Moguće je razmatranje zahteva za punoletno dete ukoliko dete
2. noch nicht das 25. Lebensjahr vollendet hat und,"1. još nije navršilo 21. Godinu života, ne nalazi se u radnom odnosu i ako je kod Zavoda za zapošljavanje u zemlji prijavljeno kao lice koje traži posao ili"
a) für einen Beruf ausgebildet wird oder,2. još nije navršilo 25. Godinu života i
b) sich in einer Übergangszeit von höchstens vier Monaten befindet oder,a) trenutno se obrazuje za određeno zanimanje ili
c) eine Berufsausbildung mangels Ausbildungsplatzes nicht beginnen oder fortsetzen kann oder,b) se nalazi u prelaznom roku ne dužem od četiri meseca ili
d) einen geregelten Freiwilligendienst leistet oder,c) ne može da započne ili da nastavi sa stručnim obrazovanjem usled nedostaka potrebnih mesta za obuku ili
"3. wegen körperlicher, geistiger oder seelischer Behinderung außerstande ist, sich selbst zu unterhalten; Voraussetzung ist, dass die Behinderung vor Vollendung des 25. Lebensjahres eingetreten ist (ohne Altersgrenze).","3. je usled telesne, mentalne ili duševne poremećenosti onemogućeno da se samostalno izdržava; uslov je da je sprečenost nastupila pre 25. godine (nema starosne granice)."
Rechtslage ab 2012,"usled telesne, mentalne ili duševne sprečenosti nije u stanju da se samostalno izdržava; preduslov je da je sprečenost nastupila pre 25. Godine (nema starosne granice)."
"Nach Abschluss einer erstmaligen Berufsausbildung oder eines Erststudiums wird ein Kind in den Fällen der Nummer 2 (a bis d) nur berücksichtigt, wenn das Kind keiner (schädlichen) Erwerbstätigkeit nachgeht.","Po završetku prvobitne stručne obuke ili prvih studija, dete će u slučaju pod brojem 2 (a do d) biti razmotreno samo ukoliko ne obavlja nikakvo (štetno) zanimanje."
"Eine Ausbildung (Berufsausbildung oder Studium) ist grundsätzlich abgeschlossen, wenn sie zur Ausübung eines Berufs befähigt, auch wenn das Kind später eine weitere Ausbildung aufnimmt. Wurde jedoch das angestrebte Berufsziel mit dem erworbenen Abschluss noch nicht erreicht, kann auch eine weiterführende Ausbildung noch Teil der Erstausbildung sein, wenn die Ausbildungsabschnitte in einem engen sachlichen Zusammenhang zueinander stehen und in engem zeitlichen Zusammenhang durchgeführt werden.",
"Ein Kind ist erwerbstätig, wenn es einer auf die Erzielung von Einkünften gerichteten Beschäftigung nachgeht, die den Einsatz seiner persönlichen Arbeitskraft erfordert. Hieraus folgt, dass der Begriff „Erwerbstätigkeit“ durch eine nichtselbständige Tätigkeit, eine land- und forstwirtschaftliche, eine gewerbliche und eine selbständige Tätigkeit erfüllt werden kann. Die Verwaltung eigenen Vermögens ist demgegenüber keine Erwerbstätigkeit.","Po završetku prvobitnog obrazovanja za određeno zanimanje ili prvobitnih studija, dete će u slučajevima navedenim pod brojem 2 (od a do d) biti uzeto u obzir, samo ukoliko ne obavlja nikakvu (štetnu) delatnost. Obrazovanje (stručno obrazovanje ili studije) su završene ukoliko omogućavaju obavljanje nekog zanimanja, čak i onda, kada je za to potrebno dodatno obrazovanje. Ovo važi i kada završetak školovanja ne znači da takvo lice ima pravo da se bavi zanimanjem za koje se obrazovalo (na pr. prodavac, radnik u Hitnoj pomoći, nastavnik ili pravnik nakon polaganja 1. Državnog ispita)."
"Bitte weisen Sie die wöchentliche Arbeitszeit anhand geeigneter Unterlagen (z.B. Arbeitsvertrag / Bescheinigung des Arbeitgebers) nach. Wurde von den vertraglich vereinbarten Arbeitszeiten abgewichen, kann ein Nachweis hierfür durch Vorlage von Gehaltsabrechnungen, einem Auszug aus dem Arbeitskonto oder einer Arbeitgeberbescheinigung erfolgen. Fehlzeiten aufgrund von Urlaub, Krankheit oder ähnliches mindern die vertraglich vereinbarte Arbeitszeit nicht.",
Rechtslage bis 2011,"Molimo Vas za dostavljanjem dokaza o nedeljnom radnom vremenu na osnovu odgovarajućih dokumenata (na pr. Ugovora o radu/ potvrde poslodavca). Ukoliko postoji neusklađenost u odnosu na ugovoreno radno vreme, to se može dokazati davanjem na uvid obračuna ličnog dohotka, izvoda sa tekućeg računa ili povrde izdate od poslodavca. Ugovoreno radno vreme se ne umanjuje usled godišnjih odmora, bolesti ili sl."
"Die Berücksichtigung eines über 18 Jahre alten Kindes hinsichtlich der Zahlung von Kindergeld ist ausgeschlossen, wenn das Kind Einkünfte und Bezüge von mehr als 8.004 Euro hat, die zur Bestreitung seines Unterhalts oder seiner Berufsausbildung bestimmt oder geeignet sind. Aus diesem Grund ist der Antrag auf Kindergeld für ein volljähriges Kind immer um die „Erklärung zu den Einkünften und Bezügen“ und ggf. die „Erklärung zu den Werbungskosten“ zu ergänzen.",Pravno stanje od 2011
Zu 5: Anspruch auf eine Geldleistung von einer Stelle außerhalb Deutschlands / von einer zwischen- oder überstaatlichen Stelle,"Razmatranje zahteva za dete, starosti preko 18 godina, vezano za isplatu dečijeg dodatka je isključeno, u slučaju da dete ima zaradu i primanja preko 8.004 evra koji služe ili su namenjeni za pokrivanje njegovih troškova života ili za stručno obrazovanje. Iz tog razloga je potrebno, kada se radi o punoletnom detetu, priložiti uz Zahtev za dečijim dodatkom i „Izjavu o primanjima i zaradama“ kao i evtl. „Izjavu o troškovima oglašavanja“."
"Hier sind beispielsweise Ansprüche auf kindbezogene Familienleistungen, die im Ausland bestehen oder Ansprüche auf kindbezogene Leistungen von einer Beschäftigungsbehörde (z. B. der Europäischen Union) einzutragen.",
"Zu 6: Sind oder waren Sie oder eine andere Person, zu der das Kind in einem Kindschaftsverhältnis steht, in den letzten 5 Jahren vor der Antragstellung: (...)","Ovde treba navesti, na primer, prava na porodične beneficije za decu koja se nalaze u inostranstvu ili prava na beneficije vezano za decu koja se dobijaju od nekog zavoda za zapošljavanje (na pr. iz Evropske Unije)."
"„Tätigkeit im öffentlichen Dienst“ bedeutet eine Tätigkeit als Beamter/Versorgungsempfänger/(Tarif-)Beschäftigte des Bundes, eines Landes, einer Gemeinde, eines Gemeindeverbandes oder einer sonstigen Körperschaft, Anstalt oder Stiftung des öffentlichen Rechts oder als Richter, Berufssoldat oder Soldat auf Zeit.",
"Hierzu zählt auch die bei einem privaten Arbeitgeber ausgeübte Tätigkeit, soweit Angehörige des öffentlichen Dienstes hierfür beurlaubt worden sind. Nicht zum öffentlichen Dienst zählen Religionsgemeinschaften des öffentlichen Rechts (Kirchen einschl. der Ordensgemeinschaften, kirchlichen Krankenhäuser, Schulen, Kindergärten und ähnliches) sowie die Spitzen-/Mitgliedsverbände der freien Wohlfahrtspflege und die ihnen angeschlossenen Einrichtungen.",
"Die Fragen 6b bzw. 6c sind auch dann mit „ja“ zu beantworten, wenn Sie, Ihr Ehegatte bzw. Lebenspartner oder eine andere Person, zu der eines der Kinder in einem Kindschaftsverhältnis steht, im diplomatischen oder konsularischen Dienst tätig sind oder waren.","Ovde spada i delatnost obavljena kod privatnog poslodavca, ukoliko su službenici javnog sektora bili na odmoru. U javnu službu se ne ubrajaju verske zajednice javnog prava (crkve uklj. rednovničke zajednice, crkvene bolnice, škole, vrtiće i sl.) kao i glavna-/ pridružna volonterska udruženja kao i ustanove koje su im priključene."
Ausführliche Informationen zum Kindergeld finden Sie im Internet unter www.bzst.de bzw. unter www.familienkasse.de.,
